fm,task,n,n_patients,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi,intercept,intercept_lo,intercept_hi,slope,slope_lo,slope_hi,horizon_months,n_events,mean_pred_surv,km_obs_surv,calibration_slope_decile,calibration_intercept_decile,n_seeds
biomedclip,t1,1583.0,135.0,0.04840525116324946,0.03990858724478213,0.056453603590804285,0.01669137234457314,0.012192601159179124,0.03047815388573306,-0.05270214641661789,-0.35902668579913377,0.19424346261254838,0.9333073965824614,0.837010913375188,1.0708938525817946,,,,,,,
ct_fm,t1,1583.0,135.0,0.04642840293700736,0.03759039235828665,0.055569913115285294,0.025761519357722848,0.01680982159169097,0.03966104263069354,0.24781985522082592,-0.02358138072423142,0.4610574522511002,0.7712365602056612,0.6522797251886953,0.9537311076352485,,,,,,,
dinov2,t1,1583.0,135.0,0.05857750220306017,0.04816264082653739,0.07057847296502624,0.01478821046422053,0.011932789124375504,0.035845730539357634,0.01728311561313918,-0.3335870226484226,0.3234118988287977,0.9157110376689037,0.8224643016240775,1.0636520412570956,,,,,,,
fmcib,t1,1583.0,135.0,0.048241584035110925,0.04036856226950518,0.05687067206922377,0.023132240962443002,0.01590498164563813,0.03597054228544687,0.26098868940930087,-0.06062604132522635,0.5139154227645494,0.8285844660855576,0.708875235803289,0.9993679112876555,,,,,,,
rad_dino,t1,1583.0,135.0,0.05339374822697277,0.04365745496711233,0.06313013020400592,0.020642935736078,0.015973527179585723,0.03500587981380032,-0.07265414732325985,-0.39729367298152596,0.20112817796890556,1.0294361729278232,0.9320777731829042,1.176553880919521,,,,,,,
biomedclip,t5,9864.0,333.0,0.09494928703008503,0.08840976339863263,0.1013531952125204,0.03591730727426325,0.028834465124824335,0.04556547192326445,0.01730981333428829,-0.07509006295484295,0.10518099125961783,0.7488211859622281,0.7144973494645607,0.7887071370966652,,,,,,,
ct_fm,t5,9864.0,333.0,0.08129284369722742,0.07628142120906975,0.08658978353966951,0.08563187301631855,0.07924439863947579,0.09217675692564631,-1.2226600776414152,-1.332547036730555,-1.1201259283723424,0.6287805916015401,0.5923737515348596,0.6712195977581639,,,,,,,
dinov2,t5,9864.0,333.0,0.12527822952691708,0.11854743176172503,0.1329057085920651,0.0984007184089826,0.09096152803463055,0.10768168773797139,0.2821035494711187,0.20534734453938286,0.35573078385947027,0.39600826978828246,0.378635617545032,0.4145428027357768,,,,,,,
fmcib,t5,9864.0,333.0,0.08155253599380652,0.07609754572611577,0.08724979839921818,0.06878651203282092,0.06252660972009362,0.07540101598373157,-0.29987681700134006,-0.3950252829929164,-0.20738092644053854,0.27622180207856445,0.2597168615727236,0.29242013671788003,,,,,,,
rad_dino,t5,9864.0,333.0,0.12718500510409697,0.12063079734944307,0.1343284488033284,0.09964751487318978,0.09192389269808952,0.10839421394968518,0.4196757238526635,0.34971214366045056,0.49536063691678345,0.4216700020298384,0.4019047827434269,0.44321010454693116,,,,,,,
